50,Travel_Rarely,Research & Development,10,Technical Degree,4,Male,3,Healthcare Representative,4,Single,10496,6,15,4,20,2,4,3,1,3,0,0.08734939759036145,Retention
40,Travel_Rarely,Sales,22,Marketing,3,Male,2,Sales Executive,3,Married,6380,2,12,1,8,6,6,4,1,0,0,0.08734939759036145,Retention
31,Travel_Rarely,Research & Development,9,Life Sciences,3,Male,1,Research Scientist,2,Single,2657,0,16,4,3,5,2,2,2,2,0,0.2214765100671141,Retention
21,Travel_Rarely,Sales,12,Life Sciences,3,Female,1,Sales Representative,2,Single,2716,1,15,4,1,0,1,0,0,0,1,0.5172413793103449,Attrition
29,Travel_Rarely,Research & Development,23,Life Sciences,4,Male,1,Research Scientist,4,Single,2201,9,16,4,6,4,3,2,1,2,0,0.2214765100671141,Retention
35,Travel_Rarely,Research & Development,9,Life Sciences,3,Male,2,Healthcare Representative,2,Single,6540,9,19,3,10,5,1,1,0,0,0,0.08734939759036145,Retention
27,Travel_Rarely,Research & Development,1,Medical,4,Male,1,Laboratory Technician,2,Divorced,3816,1,11,2,5,2,5,2,0,4,0,0.2214765100671141,Retention
28,Travel_Rarely,Sales,9,Life Sciences,2,Male,2,Sales Executive,4,Single,5253,1,16,4,7,1,7,5,0,7,0,0.2214765100671141,Retention
49,Travel_Rarely,Research & Development,7,Other,2,Male,3,Healthcare Representative,3,Single,10965,8,24,3,26,2,5,2,0,0,0,0.08734939759036145,Retention
51,Travel_Rarely,Sales,14,Life Sciences,3,Female,2,Sales Executive,4,Married,4936,4,11,3,18,2,7,7,0,7,0,0.08734939759036145,Retention
36,Travel_Rarely,Research & Development,2,Life Sciences,4,Female,1,Research Scientist,3,Married,2543,4,13,2,6,3,2,2,2,2,0,0.08734939759036145,Retention
34,Non-Travel,Sales,19,Marketing,1,Male,2,Sales Executive,4,Single,5304,8,13,2,9,3,5,2,0,4,0,0.08734939759036145,Retention
55,Travel_Rarely,Research & Development,2,Life Sciences,3,Female,4,Manager,4,Single,16659,2,13,3,30,2,5,4,1,2,0,0.08734939759036145,Retention
24,Travel_Rarely,Sales,10,Marketing,4,Female,2,Sales Executive,3,Divorced,4260,1,12,4,5,2,5,2,0,3,0,0.2214765100671141,Retention
30,Travel_Rarely,Sales,2,Technical Degree,3,Male,1,Sales Representative,2,Married,2476,1,18,1,1,3,1,0,0,0,1,0.5172413793103449,Attrition
26,Travel_Frequently,Research & Development,3,Technical Degree,3,Male,1,Research Scientist,1,Single,3102,0,22,3,7,2,6,4,0,4,0,0.2214765100671141,Retention
22,Travel_Rarely,Research & Development,11,Medical,1,Female,1,Research Scientist,2,Married,2244,1,13,4,2,1,2,1,1,2,0,0.2214765100671141,Retention
36,Travel_Rarely,Sales,2,Medical,2,Male,3,Sales Executive,3,Married,7596,1,13,2,10,2,10,9,9,0,0,0.08734939759036145,Retention
